"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"45" "1" "-146" "6" "16.5" "Turnaround Fadeaway shot"
"45" "1" "-144" "-13" "15.1" "Turnaround Fadeaway shot"
"45" "1" "78" "116" "16.3" "Turnaround Jump Shot"
"46" "0" "78" "4" "6.8" "Fadeaway Jump Shot"
"46" "0" "143" "45" "14.7" "Jump Shot"
"46" "1" "129" "112" "19" "Jump Shot"
"46" "1" "-2" "39" "5.6" "Jump Shot"
"46" "0" "176" "192" "29.5" "Jump Shot"
"46" "0" "231" "77" "23" "Jump Shot"
"46" "0" "78" "142" "16.3" "Jump Shot"
"46" "0" "-34" "25" "4.8" "Jump Shot"
"46" "0" "-112" "231" "27.8" "Jump Shot"
"46" "0" "-122" "242" "29" "Jump Shot"
"46" "0" "-48" "26" "5.2" "Jump Shot"
"46" "0" "-57" "20" "6.6" "Jump Shot"
"46" "1" "67" "66" "12.7" "Running Jump Shot"
"46" "0" "-51" "15" "7.7" "Running Jump Shot"
"48" "0" "-128" "36" "11.5" "Fadeaway Jump Shot"
"48" "1" "-111" "225" "24.5" "Jump Shot"
"48" "0" "-139" "127" "22.3" "Jump Shot"
"48" "0" "-70" "151" "18.4" "Jump Shot"
"48" "0" "-45" "134" "15.9" "Jump Shot"
"48" "0" "226" "3" "23.8" "Jump Shot"
"48" "0" "-187" "214" "30.2" "Jump Shot"
"48" "0" "105" "235" "25.5" "Jump Shot"
"48" "0" "72" "37" "9.5" "Running Jump Shot"
"48" "1" "-120" "48" "18.1" "Step Back Jump shot"
"49" "1" "226" "19" "22.6" "Jump Shot"
"49" "0" "214" "145" "24.3" "Jump Shot"
"49" "1" "124" "164" "21.7" "Jump Shot"
"49" "1" "83" "203" "22.1" "Jump Shot"
"49" "1" "-11" "61" "6.5" "Jump Shot"
"49" "1" "-146" "216" "27.2" "Jump Shot"
"49" "1" "-95" "247" "27.9" "Jump Shot"
"49" "0" "-95" "110" "12.8" "Jump Shot"
"49" "1" "144" "162" "21.5" "Jump Shot"
"49" "0" "0" "291" "32" "Jump Shot"
"49" "0" "-19" "56" "7.4" "Jump Shot"
"49" "0" "-164" "197" "25.6" "Jump Shot"
"49" "0" "-67" "242" "25.1" "Jump Shot"
"49" "0" "-158" "203" "26.4" "Jump Shot"
"49" "0" "170" "26" "16.6" "Turnaround Fadeaway shot"
"49" "0" "-152" "44" "15.1" "Turnaround Fadeaway shot"
"49" "0" "-163" "102" "18.7" "Turnaround Jump Shot"
"49" "1" "147" "19" "16" "Turnaround Jump Shot"
"50" "0" "-127" "77" "18.1" "Fadeaway Jump Shot"
"50" "1" "-5" "211" "21.6" "Jump Shot"
"50" "0" "-127" "115" "20" "Jump Shot"
"50" "0" "111" "242" "27.2" "Jump Shot"
"50" "0" "-120" "220" "24.8" "Jump Shot"
"50" "1" "23" "254" "24.5" "Jump Shot"
"50" "0" "-98" "156" "21.2" "Jump Shot"
"50" "0" "-15" "231" "24" "Jump Shot"
"50" "0" "-218" "140" "25.6" "Jump Shot"
"50" "0" "130" "183" "24.2" "Jump Shot"
"50" "0" "62" "55" "11.9" "Running Bank shot"
"50" "0" "-45" "176" "20.6" "Step Back Jump shot"
"51" "1" "-90" "50" "8.5" "Fadeaway Jump Shot"
"51" "1" "140" "206" "24.9" "Jump Shot"
"51" "0" "231" "12" "23" "Jump Shot"
"51" "0" "-89" "33" "8.8" "Running Jump Shot"
"51" "0" "-125" "-5" "19.9" "Step Back Jump shot"
"51" "0" "-35" "134" "17.6" "Turnaround Fadeaway shot"
"51" "1" "-158" "-5" "16.9" "Turnaround Jump Shot"
"52" "0" "-231" "123" "26.2" "Jump Shot"
"52" "0" "-130" "208" "25.2" "Jump Shot"
