"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"32" "0" "-4" "121" "12.7" "Floating Jump shot"
"32" "0" "-188" "119" "22.8" "Jump Shot"
"32" "0" "179" "192" "24.5" "Jump Shot"
"32" "0" "141" "236" "25.1" "Pullup Jump shot"
"32" "1" "-146" "277" "31.8" "Pullup Jump shot"
"32" "0" "-10" "160" "18.1" "Pullup Jump shot"
"32" "0" "88" "252" "26" "Step Back Jump shot"
"33" "1" "13" "64" "6" "Floating Jump shot"
"33" "0" "-8" "96" "9.1" "Floating Jump shot"
"33" "0" "-86" "110" "14.3" "Jump Shot"
"33" "0" "-51" "17" "7" "Jump Shot"
"33" "1" "-169" "205" "27.6" "Pullup Jump shot"
"33" "1" "62" "194" "19.6" "Pullup Jump shot"
"33" "1" "108" "260" "27.6" "Pullup Jump shot"
"33" "1" "174" "257" "27.3" "Pullup Jump shot"
"33" "1" "-177" "172" "23.8" "Pullup Jump shot"
"33" "0" "116" "250" "25.5" "Pullup Jump shot"
"33" "0" "157" "233" "25.8" "Pullup Jump shot"
"33" "0" "-147" "154" "23.4" "Pullup Jump shot"
"33" "0" "91" "265" "24.9" "Pullup Jump shot"
"33" "0" "-188" "186" "24.6" "Pullup Jump shot"
"33" "0" "89" "183" "22.5" "Step Back Jump shot"
"34" "0" "-10" "37" "0.7" "Driving Jump shot"
"34" "0" "24" "69" "3.7" "Floating Jump shot"
"34" "1" "-108" "175" "21.9" "Jump Shot"
"34" "1" "-209" "156" "24.2" "Jump Shot"
"34" "1" "110" "230" "26.6" "Jump Shot"
"34" "1" "-108" "132" "18.2" "Jump Shot"
"34" "0" "-152" "241" "27.2" "Jump Shot"
"34" "0" "13" "269" "24.9" "Jump Shot"
"34" "0" "-221" "135" "24.4" "Jump Shot"
"34" "1" "130" "235" "24.1" "Pullup Jump shot"
"34" "0" "-82" "263" "25" "Pullup Jump shot"
"34" "0" "-70" "246" "24.8" "Pullup Jump shot"
"34" "1" "13" "30" "3.2" "Running Bank shot"
"35" "1" "31" "7" "8.6" "Driving Jump shot"
"35" "1" "234" "85" "23.8" "Jump Shot"
"35" "0" "47" "20" "7.2" "Jump Shot"
"35" "1" "108" "217" "25" "Jump Shot"
"35" "1" "0" "176" "18.8" "Jump Shot"
"35" "1" "0" "257" "25.8" "Jump Shot"
"35" "1" "121" "224" "25.5" "Jump Shot"
"35" "1" "64" "189" "20.4" "Jump Shot"
"35" "0" "-79" "246" "26.2" "Jump Shot"
"35" "0" "239" "64" "22.7" "Jump Shot"
"35" "0" "170" "190" "24.5" "Jump Shot"
"35" "0" "110" "222" "24.5" "Jump Shot"
"35" "1" "53" "50" "11.3" "Running Bank shot"
"36" "1" "-120" "250" "24.3" "Jump Shot"
"36" "0" "-10" "30" "10.7" "Jump Shot"
"36" "0" "-188" "186" "23.2" "Jump Shot"
"36" "0" "113" "116" "16.4" "Pullup Bank shot"
"36" "1" "133" "247" "24.3" "Pullup Jump shot"
"36" "1" "-239" "15" "22.3" "Pullup Jump shot"
"36" "1" "-2" "149" "15.3" "Pullup Jump shot"
"36" "1" "-134" "285" "27.2" "Pullup Jump shot"
"36" "1" "-240" "-5" "22.4" "Pullup Jump shot"
"36" "1" "-101" "238" "24.8" "Pullup Jump shot"
"36" "0" "-18" "258" "24.9" "Pullup Jump shot"
"36" "0" "-205" "149" "24.5" "Pullup Jump shot"
"36" "0" "2" "209" "21.8" "Pullup Jump shot"
"36" "1" "230" "48" "21.8" "Pullup Jump shot"
"36" "1" "-4" "80" "6.7" "Running Jump Shot"
"36" "1" "-73" "126" "15.8" "Turnaround Jump Shot"
"37" "1" "-51" "52" "10.5" "Floating Jump shot"
"37" "0" "28" "238" "24.9" "Jump Shot"
"37" "1" "230" "37" "23.5" "Jump Shot"
"37" "0" "-75" "239" "26.8" "Jump Shot"
"37" "0" "77" "231" "25.4" "Jump Shot"
"37" "0" "-205" "82" "22.4" "Jump Shot"
"37" "1" "-166" "178" "24.8" "Pullup Jump shot"
"37" "0" "2" "246" "26.2" "Pullup Jump shot"
"37" "0" "-43" "187" "21.6" "Pullup Jump shot"
"37" "1" "73" "183" "22.1" "Step Back Jump shot"
"38" "0" "-144" "213" "25.2" "Jump Shot"
"38" "0" "231" "-11" "22.3" "Jump Shot"
"38" "1" "-38" "189" "26.1" "Jump Shot"
"38" "1" "-133" "228" "26.1" "Jump Shot"
"38" "0" "13" "244" "24.5" "Pullup Jump shot"
"38" "1" "-166" "179" "25" "Pullup Jump shot"
"38" "0" "211" "129" "24.4" "Pullup Jump shot"
"38" "0" "189" "113" "19.1" "Pullup Jump shot"
"38" "0" "165" "194" "25.9" "Pullup Jump shot"
"38" "1" "58" "37" "8.4" "Running Bank shot"
"38" "1" "-79" "85" "11.1" "Running Bank shot"
"38" "1" "-86" "33" "12.1" "Running Bank shot"
"38" "0" "9" "142" "12.2" "Running Jump Shot"
"38" "0" "-201" "148" "24.6" "Step Back Jump shot"
"39" "1" "176" "216" "24.1" "Fadeaway Jump Shot"
"39" "1" "-127" "45" "16.1" "Pullup Bank shot"
"39" "1" "-209" "189" "27.6" "Pullup Jump shot"
"39" "0" "-35" "257" "25.1" "Pullup Jump shot"
"39" "1" "-116" "41" "9.5" "Running Bank shot"
"39" "0" "189" "201" "25.3" "Step Back Jump shot"
"39" "1" "-73" "126" "14.6" "Step Back Jump shot"
"39" "0" "105" "20" "11.6" "Turnaround Bank shot"
"39" "0" "141" "299" "33.7" "Turnaround Fadeaway shot"
"40" "0" "-82" "260" "27.1" "Jump Shot"
