Game Shots Missmade Xdist Ydist Dist Quarter
42 6 0 158 104 12 4
42 7 0 188 66 10 3
42 8 1 198 198 14 1
42 9 0 203 246 18 1
42 10 0 274 94 3 1
42 11 0 259 209 13 4
42 12 1 276 209 13 4
42 13 1 282 220 14 3
42 14 1 288 220 14 3
42 15 1 284 234 15 4
42 16 1 282 276 18 2
42 17 0 394 79 10 2
42 18 0 431 170 14 1
42 19 1 447 162 16 4
42 20 0 465 158 17 1
42 21 0 482 50 16 4
42 22 0 484 70 16 2
42 23 0 502 128 18 3
42 24 0 517 49 19 2
42 25 1 288 72 0 4
42 26 1 292 73 0 3
42 27 0 297 74 0 2
42 28 1 302 74 0 1
42 29 1 307 73 0 4
42 30 1 312 72 0 2
43 1 1 140 78 14 2
43 2 0 150 78 13 2
43 3 0 190 348 25 4
43 4 0 212 228 16 2
43 5 0 220 290 21 1
43 6 1 228 206 13 1
43 7 0 228 228 15 1
43 8 0 234 247 17 2
43 9 0 321 112 4 4
43 10 0 314 140 6 1
43 11 0 310 194 11 4
43 12 1 318 211 12 1
43 13 0 305 233 15 2
43 14 1 362 192 12 3
43 15 1 366 233 15 4
43 16 1 363 242 16 2
43 17 0 406 242 17 3
43 18 1 406 228 16 1
43 19 0 406 269 19 2
43 20 0 531 54 18 1
43 21 0 288 72 0 4
43 22 1 292 73 0 3
43 23 0 296 74 0 4
43 24 1 300 75 0 2
43 25 0 304 74 0 4
43 26 1 308 73 0 3
43 27 1 312 72 0 4
44 1 0 52 138 20 3
44 2 0 81 116 16 3
44 3 1 102 137 15 3
44 4 0 201 199 14 4
44 5 0 231 112 6 4
44 6 0 276 122 5 4
44 7 0 285 157 8 3
44 8 0 286 226 14 4
44 9 1 378 84 8 4
44 10 0 372 109 8 4
44 11 1 378 190 13 4
44 12 0 424 141 13 4
44 13 0 466 306 24 4
44 14 0 518 128 18 4
45 1 1 44 204 24 3
45 2 0 105 82 16 4
45 3 1 102 122 17 2
45 4 0 117 82 15 2
45 5 0 156 212 17 2
45 6 0 249 168 9 3
45 7 1 280 270 17 4
45 8 0 396 153 12 1
45 9 1 396 188 15 1
45 10 0 437 188 17 3
45 11 0 498 130 18 2
45 12 1 511 130 19 1
45 13 0 511 142 19 4
45 14 1 288 73 0 3
45 15 1 294 74 0 3
45 16 1 298 75 0 4
45 17 1 302 75 0 3
45 18 1 306 74 0 4
45 19 1 312 73 0 3
47 1 0 52 112 19 4
47 2 0 70 61 18 4
47 3 0 70 70 18 1
47 4 0 95 166 18 3
47 5 1 124 42 14 3
47 6 0 115 106 14 2
47 7 1 132 140 13 1
47 8 0 142 133 12 2
47 9 0 142 150 13 4
47 10 0 252 58 4 4
47 11 1 264 310 21 4
47 12 1 270 181 12 2
47 13 1 270 181 12 2
47 14 0 290 223 14 4
47 15 0 320 70 3 3
47 16 0 342 71 5 4
47 17 1 352 174 10 2
47 18 0 373 161 10 3
47 19 0 376 200 14 1
47 20 0 379 218 15 2
47 21 0 478 308 25 3
47 22 1 516 42 18 1
47 23 1 516 54 18 1
47 24 1 516 42 18 1
47 25 1 288 73 0 1
47 26 1 293 74 0 2
47 27 1 298 75 0 3
47 28 1 303 75 0 1
47 29 1 308 74 0 2
47 30 1 313 73 0 1
48 1 1 99 78 18 2
48 2 0 131 183 17 4
48 3 0 146 138 15 1
48 4 0 144 173 16 1
48 5 0 172 96 12 3
48 6 0 184 227 17 2
48 7 0 226 230 16 2
48 8 0 226 238 17 1
48 9 0 241 157 9 4
48 10 0 271 108 5 2
48 11 0 298 156 7 2
